post_number,username,name,created_at,content,reply_to_post_number,like_count,post_url
12,PinterestAnna,Anna,2026-05-28T23:36:20.949Z,"Hi there @briansuarezm, @avekpl, @gtvapp, @creatorintelhq, @2bwsr7b8vkkkd0d8661fqmx8oronwk, @soumae, @convenientsupplies1, @holisticsouljourney, and @manojshakya78605! Welcome to the Community

I apologize for the delay in response! So you know, our team is working on resolving a backlog of approving app access for folks.

As Haley on our Developers team mentioned in this post, If you have an urgent need, please don’t hesitate to submit a support ticket and flag it as high priority. Our support team will do their best to triage urgent cases as quickly as possible!

Submit a support ticket: https://help.pinterest.com/en/contact

Thank you all!

Warmly,

Anna K.

Community Manager",,3,https://community.pinterest.biz/t/update-developer-app-approvals/45527/12
13,landedmoneyca,Landedmoneyca,2026-05-29T16:11:10.016Z,"Hi Pinterest Developer team,

I applied for Standard access for my app (account @landedmoney) and submitted the requested video

demo, but it’s still showing as pending review.

The integration is fully working on Trial access — OAuth is connected and authentication/reads work fine. The only

thing blocking me is creating Pins in production, where I get:

code 29: “Apps with Trial access may not create Pins in production https://api.pinterest.com - use API Sandbox

https://api-sandbox.pinterest.com instead.”

Could you please review my Standard access submission, or let me know if you need anything further from me to complete

it? I’m happy to re-send the demo or provide additional detail.

Thank you!

— landedmoney.ca",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/13
14,PinterestAnna,Anna,2026-05-29T20:02:15.513Z,"Welcome to the Community, @landedmoneyca! Our team is working on approving a backlog of requests, so if you could give them a little time they’ll attend to your request ASAP! Keep checking and if in a week or so you don’t get approval please let me know and tag me on this thread.

Have a great weekend and again, we appreciate your patience immensely!

Warmly,

Anna K.

Community Manager",13,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/14
15,jolt,Joltpost,2026-06-01T00:03:27.453Z,"Hi @PinterestHaley @PinterestHaley - not an urgent requirement but we’ve been waiting to roll out app since three weeks now.

Wondering if there’s any update on how far Pinterest has gotten to resolve the backlog.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/15
16,edojapandi,Edojapandi,2026-06-01T08:08:19.161Z,"Hello Pinterest Developer Support team,

My app has been pending Trial access review for over one week.

I would appreciate an expedited review.

Use case: Automated pin publishing for my Etsy shop “Edo Japandi”

— a curated collection of Japanese ukiyo-e art digital prints.

The app creates pins that link directly to product listings.

Please let me know if any additional information is needed.

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/16
17,Lifelongdeo,Lifelongdeo,2026-06-01T10:56:17.827Z,"Hello,

if pinterest could please give me access so I am not stuck on trial access would be great.

My business account - lifelongdeo

I am approved shopify merchant. Please help or reach out and let me know the next steps.

Thanks",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/17
18,kurohyofire,Kurohyofire,2026-06-02T07:52:43.984Z,"Hello Pinterest team,

I submitted my app for Trial access on May 20, 2026, but it is still showing “Trial access pending” 13 days later. Could you please review and approve it, or let me know if anything is missing on my side?

App details:

- App name: kurohyo blog auto-pin

- Business: Kurohyo-sensei (independent web writer, Japan)

- Website: https://kurohyofire.com

- Privacy policy: プライバシーポリシー | クロヒョウ先生＠Webライター

- Use case: creating and scheduling Pins that link to my own blog articles (helpful info on sick leave, disability pension, and household finance for my readers)

- Audience: my own account and my blog’s readers

Thank you very much for your help.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/18
19,SuaviusDigital,Suavius Digital,2026-06-02T12:50:17.335Z,"Hello Pinterest Developer Support, @PinterestAnna

My app shows “Trial access pending” and every API call (including Sandbox)

returns 401 “Your application consumer type is not supported”. Could you please

review and approve trial access?

App name: Etseeflow

Business: SuaviusDigital

Website: https://www.etsy.com/shop/SuaviusDigital

Use case: automated pin publishing for my own Etsy shop (SuaviusDigital). The app

creates pins from my product listings that link directly to those listings.

Own-account only.

Audience: my own account.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/19
20,navadecorco,Navadecorco,2026-06-02T13:54:00.691Z,"Hi Pinterest team — requesting trial access approval for my app “Nava Decor Ops”, submitted on May 22 and still showing “Trial access pending” a week later.

It’s a single-account internal tool for our own Pinterest business account (Nava Decor) — for updating our board descriptions/metadata and pulling our own organic analytics for reporting. Scopes needed: boards:read, boards:write, pins:read, user_accounts:read. No multi-user functionality, no ad campaign management.

Would really appreciate a review when possible — happy to provide anything else you need. Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/20
21,denmarkweddingservices,Denmarkweddingservices,2026-06-02T20:58:35.656Z,"Hi, our developer app currently shows Trial access active with a Standard access upgrade pending.

We submitted the Standard upgrade request on 14 May 2026 — so it has been pending for about 2.5 weeks now.

It’s a straightforward first-party use case: publishing our own original content to our own single business account, low volume, fully policy-compliant.

Could anyone share the typical review timeline for a pending Standard upgrade, and whether there’s anything we can do to help it move along?

Thanks!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/21
22,pawvectors,Pawvectors,2026-06-03T12:55:41.703Z,"Hi team,

(PawVectors n8n bot) was submitted for Standard Access on 17 May 2026. Today is day 17 of review.

I received the initial submission acknowledgement email shortly after, but no further communication since. Wanted to flag in case the submission is stuck or there’s something I need to act on.

Quick context on the app:

Business: PawVectors — affiliate-driven SVG bundle reviews for crafters

Two verified business properties: pawvectors.com, psalmkids.com (domain-verified via meta tag)

Both sites have live Privacy Policy, Terms of Service, About, Affiliate Disclosure, and Contact pages

5 boards created on the Pinterest business account, profile branded with bio + website

App dashboard fully filled (redirect URI added, scopes requested are minimum needed for own-account pin publishing)

Integration end-to-end tested via the Sandbox API and ready for production switch

If a staff member with visibility into the review queue could take a quick look — or let me know if there’s something missing on my end that’s holding it up — I’d really appreciate it.

Happy to provide any additional info needed.

Thanks!

— Aleksandr",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/22
23,wordofmouthfloors,Wordofmouthfloors,2026-06-03T19:08:41.828Z,"Hi Pinterest Developer team,

Requesting trial API access activation for our app.

App name: Word Of Mouth Floors Publisher

Account: @wordofmouthfloors (Verified Merchant — 188k+ monthly views)

Website: https://www.wordofmouthfloors.com

We are a Canadian flooring retailer and Verified Merchant on Pinterest. We’re requesting API access to automate publishing our own high-quality room-scene Pins (photography of our flooring products installed in real, designed spaces) to our own boards on our own account.

Use case: scheduled, brand-owned content publishing to our own Pinterest business account — no third-party data, no posting to accounts we don’t own. We use the Pinterest API v5 endpoints: boards:read (to target the correct board), pins:read, and pins:write (to create Pins with media_source image_url, title, description, and a link back to wordofmouthfloors.com).

Currently all API calls return 401 “Your application consumer type is not supported, please contact support,” which indicates the app is pending/denied trial access. Could you please activate trial access for App ID 1558015 so we can proceed (and subsequently apply for Standard access with a demo video)?

Privacy policy: Privacy policy– Word of Mouth Floors

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/23
24,Loveukristina,Loveukristina,2026-06-04T07:22:25.366Z,"Hi team, I recently created an app and am requesting trial access approval.

App name: Kristina Claude MCP

Use case: Personal read-only integration to access my own Pinterest boards and saved pins via the v5 API (boards:read, pins:read, user_accounts:read). This is for private personal use only — no third-party users, no publishing or ad management.

The app is currently showing “trial access denied” in the developer portal. All API requests return 401 with “consumer type not supported.” Happy to provide any additional info needed.

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/24
25,ergosia_official,Ergosia Official,2026-06-04T22:05:59.159Z,"Business: Ergosia (ergosia.fr), a French e-commerce store selling ergonomic cushions. We are a verified merchant on Pinterest (@ergosia_official), with our domain claimed and our Shopify catalog connected.

Use case: publish our OWN organic Pins to our OWN boards (linking to our blog articles and product pages) and read our OWN analytics. Own business account only — no third-party data, no posting on behalf of other users.

Problem: the app secret shows “Unavailable while trial access refused.” After generating an access token, every endpoint fails before any endpoint logic:

GET /v5/user_account → {“code”:3,“message”:“Your application consumer type is not supported, please contact support.”}

GET /v5/boards → 401

The app Details form is complete (business name, website, privacy policy, and use case) and there is no option in the developer dashboard to re-request access.

Ask: could you please review and approve trial access for App ID 1548418 (or advise how to make the consumer type supported)? Happy to provide any verification needed. Thank you.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/25
26,PinterestFernanda,Fernanda,2026-06-05T08:16:40.622Z,"Hey everyone, and a warm welcome to all the new members joining the PBC!

We don’t have an exact turnaround time, but our team will review your requests and respond as soon as possible. This post by @PinterestHaley includes additional details on developer app approvals. Thanks for your patience with this!

Feel free to reach if you have any questions in the meantime!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/26
27,mixtapeprintsshop,Mixtapeprintsshop,2026-06-03T17:17:03.542Z,"Can you please review my trial application. Seems like it was denied automatically.

This app automates organic content publishing for MixTape Prints, a small ecommerce business selling custom 3D printed goods on Shopify. The app integrates our product catalog with Pinterest by creating Product Pins linked directly to our Shopify product pages. It uses the Pinterest API to programmatically create Pins with AI-generated titles and descriptions, post to product-specific boards, and pull performance analytics. All content is published from and owned by our own business Pinterest account — this is not a multi-user or SaaS tool. The OAuth flow authenticates our own business account to enable automated publishing as part of our content pipeline.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/27
28,superinvitation,Superinvitation,2026-06-03T23:53:39.620Z,"Hi Pinterest team,

I submitted a Standard Access upgrade request for my app over a week ago and it’s still showing as “Pending” in the developer portal. I also submitted a support ticket today.

App: Super Invitation

Portal status: Trial active, Standard upgrade pending

Use case: Organic pin publishing for wedding inspiration content on our official business account. No ads, no catalog sales — just pins:write and boards:write for automated content from our platform.

The demo video was already submitted through the Standard Access upgrade form in the developer portal (initial request + updated submission with OAuth flow demo).

Could you please check the status of our review or let us know if anything else is needed?

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/28
29,shellbellecouture,Shellbellecouture,2026-06-05T09:03:07.030Z,"Hi Pinterest Developer team,

I submitted my app for Trial access and it has been showing

“Trial access pending” without any update.

App details:

App name: Shell Belle Couture Pin Automation

Purpose: Automatically pin new products from my Shopify store

to my Pinterest business account.

First-party use only — no third-party users.

Scopes needed: pins:write, boards:read

Could you please review my application? Happy to provide any

additional information needed.

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/29
30,muggalicious,Muggalicious,2026-06-05T09:03:11.316Z,"Hi Pinterest Developer team,

I submitted my app for Trial access on May 23, 2026, and it has been showing

“Trial access pending” for 13 days without any update.

App details:

App name: Sole Design Studio Pin Automation

Purpose: Automatically pin new products from my Shopify store

(soledesignstudio.com) to my Pinterest business account.

First-party use only — no third-party users.

Scopes needed: pins:write, boards:read

Could you please review my application? Happy to provide any additional

information needed.

Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/30
31,Transformation_Avenue,Transformation  Avenue,2026-06-05T11:33:59.738Z,"Hello Pinterest team, I would like to request activation of trial access for my app, Transformation Avenue Poster. I plan to publish pins to my own Pinterest business account for my education brand for kids. My app secret currently shows “Unavailable while trial access pending.” Could you please activate trial access so I can generate my secret and use the pins:write scope? Appreciated.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/31
32,easyteachpl,Easyteachpl,2026-06-05T12:26:03.950Z,"Hi Pinterest team,

My app has been stuck in “Trial access pending” for 14 days and I’d like to

request activation of trial access.

App name: Easy Teach Automation

App created: 2026-05-22

The app secret shows “Unavailable while trial access pending”. I generated a

fresh access token today (Limited production environment, read scopes:

pins:read, boards:read, user_accounts:read, ads:read, catalogs:read), but every

v5 endpoint returns:

HTTP 401

{“code”:3,“message”:“Your application consumer type is not supported, please contact support.”}

I tested both /v5/user_account and /v5/boards with the same result.

Use case: read-only access to my own Pinterest business account (@easyteachpl)

to export my pin/board analytics for internal weekly reporting. Single account,

no third-party users.

Could you please activate trial access? Happy to provide any

additional details. Thank you!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/32
33,japan_michi,Japan Michi,2026-06-05T12:26:20.493Z,"Hi Pinterest Developer team,

I am requesting Standard Access for my app

MICHI Autoposter

Use case:

I publish an English-language Osaka travel

media (japan-michi.com) and need to

automatically post article pins to our own

Pinterest boards only.

No third-party users involved

Only posting to our own account

Website: https://japan-michi.com

Please advise on next steps.

Thank you.

Shuhei Makigi

Stay Buddy Inc.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/33
34,PinterestFernanda,Fernanda,2026-06-05T14:12:03.210Z,"Hi all! Welcome to all the new members!

Our team is currently working through your approval requests, so while we can’t share an exact turnaround time, they’ll review your request as soon as possible. We really appreciate your patience in the meantime.

Also, this post by @PinterestHaley has some additional context around developer app approvals.

If you have any questions in the meantime, don’t hesitate to reach out!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/34
35,redaktionseismart,Redaktionseismart,2026-06-06T22:32:01.671Z,"Hi Pinterest API team,

Our app has been in “Trial access pending” status for a few weeks now.

Use case: first-party, single-account integration for our own German consumer-advice website (Pinterest business account with claimed domain, same domain as in the app profile). The app will create pins from our own articles on our own boards. No third-party users, no third-party data.

Could you please review our trial access request? Happy to provide any additional information.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/35
36,AxisterraWorks,Axisterra Works,2026-06-07T07:54:58.227Z,"Hi Pinterest API team,

Our app has been in “Trial access pending” status for two few weeks now.

Could you please review our trial access request? Happy to provide any additional information.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/36
37,novustore,Novustore,2026-06-07T22:02:36.338Z,"Hi Pinterest team. My app “NOVU Claude” has been stuck in “Trial access pending” for over two weeks.

Could you please review and approve trial access?

Use case: first-party, single business account — I want to publish/schedule Pins, manage boards, and read analytics for my own Shopify store (https/novustores.com/ — domain already claimed, Verified Merchant Program submitted).

Needed scopes: pins:read, pins:write, boards:read, boards:write, user_accounts:read, catalogs:read. Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/37
38,mathieudessaint10,Mathieudessaint10,2026-06-08T06:47:04.862Z,"Hi Pinterest team, requesting trial access approval for (Bloglink). It’s been pending ~6 days, past the usual 1–2 day turnaround.

It’s a first-party tool: it creates pins on our own Pinterest business account’s boards for articles published on our own niche content sites (e.g. woodworkstarter). Single owned account via OAuth2, posting only to boards we own, rate-limited, no third-party user access. Happy to provide anything else you need. Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/38
39,FemmeBotanicals,Femme Botanicals,2026-06-08T07:55:37.778Z,(post deleted by author),,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/39
40,0lm5vu37fbnbvoeyr7v4ds0y09a0ni,0lm5vu37fbnbvoeyr7v4ds0y09a0ni,2026-06-04T22:06:10.695Z,"Hi Pinterest team,

Could you please review and approve trial access for my app?

App name: Divinav.com Integration

Submitted: 2026-05-27 (still showing “Trial access pending” 8+ days later)

Use case: First-party, single-account automation. We only post Pins to our own

business account’s own boards (@divinav) — a scheduled publisher for our own

marketing content. No third-party users, no access to other accounts.

Scopes needed: pins:write, pins:read, boards:read, user_accounts:read

Redirect URI we intend to use: http://localhost:8085/callback

The app has been pending well past the usual window and the app secret + redirect

URI fields stay locked until trial access is granted, so we can’t complete OAuth.

Any help moving this along would be appreciated. Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/40
41,PinterestIvania,Ivânia,2026-06-08T09:26:40.395Z,"@redaktionseismart @AxisterraWorks @novustore @mathieudessaint10 @FemmeBotanicals @0lm5vu37fbnbvoeyr7v4ds0y09a0ni

Hi everyone, and a special welcome to our newest members!

Our team is currently reviewing approval requests. While we’re not able to provide an exact timeline right now, please know that your request will be reviewed as soon as possible. We truly appreciate your patience while this process is underway.

In the meantime, @PinterestHaley’s post also includes some helpful additional information about developer app approvals.

If any questions come up, please feel free to reach out!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/41
42,akinbolawa90,Akinbolawa90,2026-06-08T09:49:15.975Z,"Dear Team,

Bringing this to the top of your mind.

Trial access pending and Standard access.

Warm Regards.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/42
43,madamebridal,Madamebridal,2026-06-08T09:53:19.833Z,"Hello,

We made an app 2 weeks ago and while Trial access was allowed right away, we got stuck with:

Trial access active

We have submitted everything to move to production mode, but never got any answer.

Thanks",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/43
44,annalorekfoto,Annalorekfoto,2026-06-08T10:12:48.590Z,"Hi Pinterest team,

I’m getting HTTP 401 with error code 3 — ""Your application consumer type is

not supported, please contact support."" — on every v5 endpoint (including

GET /v5/user_account and GET /v5/boards). The app secret in the console shows

“Unavailable while trial access pending”, so it looks like my app is stuck in

trial-access-pending state.

Could you please activate trial access for my app?

- Account: Business account

- Use case: Automatically publishing my own photography portfolio (my website) as pins to my own boards — a simple scheduled auto-pin tool for

my own content, no third-party data.

- Scopes needed: boards:read, boards:write, pins:read, pins:write,

user_accounts:read

Thanks a lot for your help!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/44
45,aimakerspruche,Aimakerspruche,2026-06-08T12:08:54.077Z,"Hello Pinterest team,

Our app has been showing “Trial access pending” for several days and the app secret is still unavailable.

- App name: AI Maker Sprüche

- Account: @aimakerspruche (business account, type: Content creator)

- Intended use: scheduling and publishing our own Pins via the API (v5)

Could you please activate trial access for this app so we can retrieve the app secret and continue development? Thank you very much!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/45
46,henrybuisness3,Henrybuisness3,2026-06-08T19:11:35.425Z,"Hi! My app is stuck on Trial access pending. The app secret shows “unavailable while trial access pending” and all v5 API calls (e.g. /v5/user_account, /v5/boards) return error code 3: “Your application consumer type is not supported, please contact support.” My access token authenticates fine. Could you please activate/approve Trial access for my app so I can create pins on my own Pinterest account? Thank you very much!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/46
47,PinterestIvania,Ivânia,2026-06-09T08:25:06.456Z,"@akinbolawa90 @madamebridal @annalorekfoto @aimakerspruche @henrybuisness3

Hi all, and welcome to our newest members!

We’re so glad you’re here and appreciate everyone’s patience as our team works through approval requests. While we’re not able to share an exact timeline right now, please know that each request will be reviewed as soon as possible.

Thanks again for being part of the community, and if any questions come up, please feel free to reach out.",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/47
49,access10301,Access10301,2026-06-09T11:45:39.207Z,"My app ‘Recept-radar’ is stuck in Trial access pending and all v5 endpoints return 401 ‘consumer type is not supported’.

Could you please activate trial access?

Use case: internal recipe-trend analysis via the Trends API.

Thanks!",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/49
50,PinterestIvania,Ivânia,2026-06-09T17:00:29.339Z,"Hi there @access10301, and welcome to the PBC!

Thank you for sharing this information. Please note that we don’t have an exact turnaround time, but our team will review your request and respond as soon as possible!

Thank you for your patience, and please let us know if you have any questions in the meantime!",49,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/50
51,muggalicious,Muggalicious,2026-06-10T08:47:34.385Z,"Update — June 10, 2026:

Good news: Trial access was approved shortly after this post. Thank you!

We have now also submitted a Standard access upgrade request. The upgrade is currently showing as “pending” in our developer dashboard.

Our integration is fully built and tested — OAuth flow working, analytics connected, and 795 Shopify products queued for pin publishing. We’re just waiting on Standard access to go live.

Any update on the expected review timeline for Standard access upgrades would be greatly appreciated!

Thank you,

Sole Design Studio",30,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/51
52,akinbolawa90,Akinbolawa90,2026-06-10T08:52:20.488Z,"Please help in deleting my app. I can’t see a button to delete.

I need to delete so I can create a new app with the correct information.

Thank you in advance",,0,https://community.pinterest.biz/t/update-developer-app-approvals/45527/52
53,jolt,Joltpost,2026-06-11T06:13:25.685Z,"Hi Pinterest Developer team,

I submitted my app for Trial access on May 13, 2026, and it has been showing “Trial access pending” for several weeks without any update.

App details:

Purpose: A cross-platform social media scheduler that lets users connect their Pinterest account via OAuth 2.0, compose image or video pins, choose one of their boards, and publish immediately or on a schedule.

Scopes requested:

user_accounts:read - Read the connected Pinterest account on connect, including username, account type, and profile details. Also used for account-level analytics and follower count.

boards:read - List the user’s boards so they can choose where to publish a pin. Also required for pin analytics.

boards:write - Create boards from the app when the user wants a new destination board while composing.

pins:read - Read pins published through the app and support pin analytics.

pins:write - Create pins on the board selected by the user. This is the core publishing action.

The app only stores what is needed to publish on the user’s behalf, including encrypted OAuth access and refresh tokens, basic connected account profile information (id, username, avatar URL), and the board ID selected for each scheduled pin. Board lists are fetched live from Pinterest when the user opens the board picker and are never stored in our database.

Users can disconnect Pinterest at any time from the app’s settings, which revokes access and deletes the stored Pinterest tokens and profile data.

We do not collect Pinterest passwords, do not use session cookies, do not scrape Pinterest, do not access secret boards, and do not resell or share Pinterest data. Analytics are shown only to the connected account owner and are not used for ad targeting or audience profiling.

Could you please review my application? I noticed some later applications have already been approved, so I wanted to check if anything else is needed from my side.

Happy to provide any additional information.

Thank you!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/53
54,americanwesternwalls,Americanwesternwalls,2026-06-11T08:14:42.768Z,"Hi Pinterest. I understand there is a backlog, we’ve been stuck at Upgrade to Standard access pending which we need to finish our Pinterest integration. We are a small POD business looking to mirror our artwork collection over to Pinterest and have already built our integration as well as we can without standard access. and if someone could take a look and approve it, it would be very helpful! I’m happy to provide any more information that would be required. Our app will only be used by me and one other employee so very limited in scope. Thanks and all the best!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/54
55,akinbolawa90,Akinbolawa90,2026-06-11T09:16:28.070Z,"Dear team,

New request has been logge. please grant approval

Warm regards",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/55
56,TheUnfoldingJapan,The Unfolding Japan,2026-06-10T00:55:27.240Z,"Hello Pinterest Developer team,

I’d like to request a review of my trial access.

App name: TheUnfoldingJapan apps

Submitted: May 31, 2026 (10+ days pending)

Developer purpose: Developing an app for my own personal/organization use

Use cases: Pin creation & scheduling, Reporting

API scopes: pins:read, pins:write, boards:read, user_accounts:read

Audience: Pinners (managing my own Etsy shop’s pins)

The app has been in “Trial access pending” status for over 10 days, and the App secret key field is still locked. Could you please review and approve it?

Thank you.",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/56
57,emily12981,Emily12981,2026-06-09T22:10:15.592Z,"My app is stuck in Trial access pending and all v5 endpoints return 401 “consumer type is not supported.”

Could you please activate trial access?

Use case: saving fashion product pins to my own boards via the Pins API.

Thanks!",,1,https://community.pinterest.biz/t/update-developer-app-approvals/45527/57
